815.0	55.20	-27.70
816.0	55.39	-26.88
817.0	55.57	-26.05
818.0	55.76	-25.23
819.0	55.95	-24.41
820.0	56.13	-23.58
821.0	56.32	-22.76
822.0	56.51	-21.94
823.0	56.70	-21.12
824.0	56.89	-20.29
825.0	57.08	-19.47
826.0	57.27	-18.65
827.0	57.46	-17.83
828.0	57.65	-17.00
829.0	57.84	-16.18
830.0	58.03	-15.36
831.0	58.23	-14.54
832.0	58.42	-13.71
833.0	58.61	-12.89
834.0	58.81	-12.07
835.0	59.00	-11.25
836.0	59.20	-10.42
837.0	59.40	-9.60
838.0	59.59	-8.78
839.0	59.79	-7.96
840.0	59.99	-7.13
841.0	60.19	-6.31
842.0	60.39	-5.49
843.0	60.59	-4.66
844.0	60.79	-3.84
845.0	60.99	-3.02
846.0	61.19	-2.20
847.0	61.39	-1.37
848.0	61.60	-0.55
849.0	61.80	0.27
850.0	62.01	1.10
851.0	62.21	1.92
852.0	62.42	2.74
853.0	62.62	3.57
854.0	62.83	4.39
855.0	63.04	5.21
856.0	63.25	6.04
857.0	63.45	6.86
858.0	63.66	7.69
859.0	63.87	8.51
860.0	64.09	9.34
861.0	64.30	10.16
862.0	64.51	10.99
863.0	64.72	11.81
864.0	64.93	12.64
865.0	65.15	13.46
866.0	65.36	14.29
867.0	65.58	15.11
868.0	65.80	15.94
869.0	66.01	16.76
870.0	66.23	17.59
871.0	66.45	18.42
872.0	66.67	19.24
873.0	66.89	20.07
874.0	67.11	20.90
875.0	67.33	21.73
876.0	67.55	22.55
877.0	67.77	23.38
878.0	67.99	24.21
879.0	68.22	25.04
880.0	68.44	25.87
881.0	68.67	26.70
882.0	68.89	27.53
883.0	69.12	28.36
884.0	69.34	29.19
885.0	69.57	30.02
886.0	69.80	30.85
887.0	70.03	31.68
888.0	70.26	32.51
889.0	70.49	33.34
890.0	70.72	34.17
891.0	70.95	35.00
892.0	71.19	35.84
893.0	71.42	36.67
894.0	71.66	37.50
895.0	71.89	38.34
896.0	72.13	39.17
897.0	72.36	40.00
898.0	72.60	40.84
899.0	72.84	41.67
900.0	73.08	42.51
901.0	73.32	43.34
902.0	73.56	44.18
903.0	73.80	45.02
904.0	74.04	45.85
905.0	74.28	46.69
906.0	74.53	47.53
907.0	74.77	48.37
908.0	75.01	49.21
909.0	75.26	50.05
910.0	75.51	50.89
911.0	75.75	51.73
912.0	76.00	52.57
913.0	76.25	53.41
914.0	76.50	54.25
915.0	76.75	55.09
916.0	77.00	55.93
917.0	77.26	56.78
918.0	77.51	57.62
919.0	77.76	58.46
920.0	78.02	59.31
921.0	78.27	60.15
922.0	78.53	61.00
923.0	78.79	61.85
924.0	79.04	62.69
925.0	79.30	63.54
926.0	79.56	64.39
927.0	79.82	65.24
928.0	80.08	66.08
929.0	80.35	66.93
930.0	80.61	67.78
931.0	80.87	68.63
932.0	81.14	69.49
933.0	81.40	70.34
934.0	81.67	71.19
935.0	81.94	72.04
936.0	82.20	72.90
937.0	82.47	73.75
938.0	82.74	74.61
939.0	83.01	75.46
940.0	83.29	76.32
941.0	83.56	77.17
942.0	83.83	78.03
943.0	84.11	78.89
944.0	84.38	79.75
945.0	84.66	80.61
946.0	84.94	81.47
947.0	85.21	82.33
948.0	85.49	83.19
949.0	85.77	84.05
950.0	86.05	84.92
951.0	86.34	85.78
952.0	86.62	86.64
953.0	86.90	87.51
954.0	87.19	88.38
955.0	87.47	89.24
956.0	87.76	90.11
957.0	88.05	90.98
958.0	88.33	91.85
959.0	88.62	92.72
960.0	88.91	93.59
961.0	89.21	94.46
962.0	89.50	95.33
963.0	89.79	96.20
964.0	90.09	97.08
965.0	90.38	97.95
966.0	90.68	98.83
967.0	90.98	99.70
968.0	91.27	100.58
969.0	91.57	101.46
970.0	91.87	102.34
971.0	92.17	103.22
972.0	92.48	104.10
